,address,city,name,rating,review_count
0,310 W Kiest,Dallas,McDonald's,1.5,21
0,450 Merrifield Rd,Dallas,McDonald's,2.0,12
0,4223 W Illinois,Dallas,McDonald's,1.5,12
0,17250 Preston Rd,Dallas,McDonald's,2.5,13
0,17606 Midway Rd,Dallas,McDonald's,1.5,83
0,8055 S Loop 12,Dallas,McDonald's,2.0,9
0,18121 Marsh Ln,Dallas,McDonald's,2.5,3
0,8333 S Lancaster Rd,Dallas,McDonald's,2.0,9
0,3200 W Wheatland,Dallas,McDonald's,2.5,3
0,2400 Aviation Dr,Dallas,McDonald's,3.0,9
0,8435 S Hampton,Dallas,McDonald's,1.0,2
0,2400 Aviation Dr,Dallas,McDonald's,3.0,72
0,2400 Aviation Dr,Dallas,McDonald's,1.0,5
0,2400 Aviation Dr,Dallas,McDonald's,2.0,9
0,2337 S International Pkwy,Dallas,McDonald's,3.0,1
0,2400 Aviation Dr,Dallas,McDonald's,4.0,6
0,7007 Wheatland,Dallas,McDonald's,1.5,7
0,1808 S Beltline Rd,Dallas,McDonald's,1.5,6
0,14897 Preston Rd,Dallas,Chick-fil-A,2.5,79
0,11702 Plano Rd.,Dallas,Taco Bell,2.5,6
0,1201 Elm St,Dallas,Chick-fil-A,3.0,18
0,4018 Lemmon Ave.,Dallas,Wendy's,1.5,62
0,6733 Hillcrest Avenue,Dallas,Starbucks,3.0,26
0,6000 Airline Dr,Dallas,Starbucks,3.5,3
0,3036 Mockingbird Lane,Dallas,Starbucks,3.0,29
0,3216 Knox Street,Dallas,Starbucks,3.0,69
0,5350 W. Lovers Lane,Dallas,Starbucks,3.5,28
0,5331 E. Mockingbird Lane,Dallas,Starbucks,4.0,53
0,3878 Oak Lawn Avenue,Dallas,Starbucks,4.0,1
0,5715 Lemmon Avenue,Dallas,Starbucks,4.0,68
0,3200 E Airfield Dr,Dallas,Starbucks,2.5,7
0,5665 E. Mockingbird,Dallas,Starbucks,4.0,3
0,4101 Lemmon Ave.,Dallas,Starbucks,3.5,36
0,8411 Preston Rd,Dallas,Starbucks,3.5,31
0,4924 Greenville Ave,Dallas,Starbucks,3.0,42
0,3699 Mckinney Ave,Dallas,Starbucks,3.5,140
0,5809 E Lovers Lane,Dallas,Starbucks,4.5,3
0,4744 Maple Avenue,Dallas,Starbucks,3.5,72
0,2800 Oaklawn Ave,Dallas,Starbucks,2.5,49
0,6123 Greenville Ave,Dallas,Starbucks,4.0,41
0,4901 Maple Ave,Dallas,Starbucks,2.0,4
0,2417 N Haskell Ave,Dallas,Starbucks,1.0,5
0,205 N Park Ctr,Dallas,Starbucks,2.0,10
0,8687 N. Central Expressway,Dallas,Starbucks,3.0,32
0,8687 North Central Expressway,Dallas,Starbucks,5.0,1
0,2801 Allen St.,Dallas,Starbucks,4.0,53
0,6333 East Mockingbird,Dallas,Starbucks,3.5,20
0,4343 W Northwest Highway,Dallas,Starbucks,4.0,16
0,7710 Aviation Pl,Dallas,Starbucks,2.0,96
0,2455 West Mockingbird Lane,Dallas,Starbucks,4.0,14
0,5116 Harry Hines Blvd,Dallas,Starbucks,4.0,2
0,8026 Park Lane,Dallas,Starbucks,4.0,83
0,5905 E. Northwest Highway,Dallas,Starbucks,2.5,53
0,8008 Cedar Springs Rd.,Dallas,Starbucks,2.5,11
0,2050 N Stemmons Fwy,Dallas,Starbucks,3.0,4
0,2103 N. Hall Street,Dallas,Starbucks,3.0,38
0,212 Medallion Ctr,Dallas,Starbucks,4.0,1
0,3398 Tom Braniff Ln,Dallas,Starbucks,1.5,3
0,400 Crescent Court,Dallas,Starbucks,2.0,20
0,6312 La Vista,Dallas,Starbucks,3.5,41
